hero1,hero2
THOR/DR. DONALD BLAK,MYSTERIO/QUENTIN BEC
THOR/DR. DONALD BLAK,"BLAKE, DR. DONALD (C"
THOR/DR. DONALD BLAK,"CLAREMONT, CHRIS"
THOR/DR. DONALD BLAK,TORPEDO III/BROCK JO
THOR/DR. DONALD BLAK,ANT-MAN II/SCOTT HAR
THOR/DR. DONALD BLAK,CRYSTAL [INHUMAN]
THOR/DR. DONALD BLAK,WONDER MAN/SIMON WIL
THOR/DR. DONALD BLAK,LIVING LIGHTNING/MIG
THOR/DR. DONALD BLAK,SPIDER-MAN/PETER PAR
THOR/DR. DONALD BLAK,SHE-HULK/JENNIFER WA
THOR/DR. DONALD BLAK,BALDER [ASGARDIAN]
THOR/DR. DONALD BLAK,ODIN [ASGARDIAN]
THOR/DR. DONALD BLAK,HULK/DR. ROBERT BRUC
THOR/DR. DONALD BLAK,CAPTAIN MARVEL II/MO
THOR/DR. DONALD BLAK,HOGUN [ASGARDIAN]
THOR/DR. DONALD BLAK,ODIN [ASGARDIAN]
THOR/DR. DONALD BLAK,CAPTAIN AMERICA
THOR/DR. DONALD BLAK,GRIM REAPER/ERIC WIL
THOR/DR. DONALD BLAK,JAILBAIT/JESS
THOR/DR. DONALD BLAK,MOONDRAGON/HEATHER D
THOR/DR. DONALD BLAK,MALEKITH/MALCOLM KEI
THOR/DR. DONALD BLAK,TRITON
THOR/DR. DONALD BLAK,ZANIAC II/THUG THATC
THOR/DR. DONALD BLAK,SILVER SURFER/NORRIN
THOR/DR. DONALD BLAK,"CASE, COL. PRESTON"
CAPTAIN AMERICA,GAMBIT/REMY LEBEAU 
CAPTAIN AMERICA,THINKER
CAPTAIN AMERICA,HAWK
CAPTAIN AMERICA,BLACK KNIGHT IV DOPP
CAPTAIN AMERICA,"FURY, COL. NICHOLAS "
CAPTAIN AMERICA,SCARLET WITCH/WANDA 
CAPTAIN AMERICA,RED SHIFT
CAPTAIN AMERICA,WONDER MAN/SIMON WIL
CAPTAIN AMERICA,VAMP
CAPTAIN AMERICA,HELLCAT/PATSY WALKER
CAPTAIN AMERICA,SPITFIRE/LADY JACQUE
CAPTAIN AMERICA,DR. STRANGE/STEPHEN 
CAPTAIN AMERICA,HERCULES [GREEK GOD]
CAPTAIN AMERICA,MOONSTONE II/KARLA S
CAPTAIN AMERICA,IRON MAN IV/JAMES R.
CAPTAIN AMERICA,WASP/JANET VAN DYNE 
CAPTAIN AMERICA,BLACK KNIGHT IV/PROF
CAPTAIN AMERICA,PUNISHER II/FRANK CA
CAPTAIN AMERICA | MU,BLOODSTORM | MUTANT 
CAPTAIN AMERICA,WITHERS
CAPTAIN AMERICA,VIPER II
CAPTAIN AMERICA,DEATHSTROKE/
CAPTAIN AMERICA,CAPTAIN MARVEL/CAPTA
CAPTAIN AMERICA,"SAWYER, GENERAL SAMU"
CAPTAIN AMERICA,COLOSSUS II/PETER RA
IRON MAN/TONY STARK ,GHOST
IRON MAN/TONY STARK ,LIVING LIGHTNING/MIG
IRON MAN/TONY STARK ,ANT-MAN/DR. HENRY J.
IRON MAN/TONY STARK ,TUC
IRON MAN/TONY STARK ,BOVA
IRON MAN/TONY STARK ,SPIDER-WOMAN II/JULI
IRON MAN/TONY STARK ,"JENNINGS, JOSEPH"
IRON MAN/TONY STARK ,CACTUS
IRON MAN/TONY STARK ,VISION 
IRON MAN/TONY STARK ,ANT-MAN/DR. HENRY J.
IRON MAN/TONY STARK ,SHE-HULK/JENNIFER WA
IRON MAN/TONY STARK ,"HOGAN, VIRGINIA PEPP"
IRON MAN/TONY STARK ,HULK/DR. ROBERT BRUC
IRON MAN/TONY STARK ,EVERY-MAN
IRON MAN/TONY STARK ,FIRESTAR/ANGELICA JO
IRON MAN/TONY STARK ,CAPTAIN AMERICA
IRON MAN/TONY STARK ,VIBRO/DR. FRANCIS VI
IRON MAN/TONY STARK ,BEREET
IRON MAN/TONY STARK ,THOR/DR. DONALD BLAK
IRON MAN/TONY STARK ,ANT-MAN/DR. HENRY J.
IRON MAN/TONY STARK ,PROFESSOR X/CHARLES 
IRON MAN/TONY STARK ,DR. STRANGE/STEPHEN 
IRON MAN/TONY STARK ,ARACHNE
IRON MAN/TONY STARK ,THOR/DR. DONALD BLAK
IRON MAN/TONY STARK ,ANT-MAN/DR. HENRY J.
BLACK WIDOW/NATASHA ,ANT-MAN/DR. HENRY J.
BLACK WIDOW/NATASHA ,ONSLAUGHT II
BLACK WIDOW/NATASHA ,RAGE/ELVIN DARYL HAL
BLACK WIDOW/NATASHA ,FORGOTTEN ONE/GILGAM
BLACK WIDOW/NATASHA ,"COOPER, DR. VALERIE"
BLACK WIDOW/NATASHA ,HAWK
BLACK WIDOW/NATASHA ,GAMORA
BLACK WIDOW/NATASHA ,INVISIBLE WOMAN DOPP
BLACK WIDOW/NATASHA ,THOR/DR. DONALD BLAK
BLACK WIDOW/NATASHA ,SWORDSMAN III/PHILIP
BLACK WIDOW/NATASHA ,CAPTAIN AMERICA
BLACK WIDOW/NATASHA ,WOLVERINE/LOGAN 
BLACK WIDOW/NATASHA ,RAGE/ELVIN DARYL HAL
BLACK WIDOW/NATASHA ,DAREDEVIL/MATT MURDO
BLACK WIDOW/NATASHA ,MACHINE MAN/X-51
BLACK WIDOW/NATASHA ,STINGRAY/DR. WALTER 
BLACK WIDOW/NATASHA ,ODIN [ASGARDIAN]
BLACK WIDOW/NATASHA ,MOONSTONE/LLOYD BLOC
BLACK WIDOW/NATASHA ,HAWK
BLACK WIDOW/NATASHA ,IRON MAN/TONY STARK 
BLACK WIDOW/NATASHA ,THING/BENJAMIN J. GR
BLACK WIDOW/NATASHA ,QUICKSILVER/PIETRO M
BLACK WIDOW/NATASHA ,STORM/ORORO MUNROE S
BLACK WIDOW/NATASHA ,"CHESNEY, SANFORD"
BLACK WIDOW/NATASHA ,CARINA/CARINA WALTER
HULK/DR. ROBERT BRUC,BELLAM
HULK/DR. ROBERT BRUC,"ROSS, GEN. THADDEUS "
HULK/DR. ROBERT BRUC,PUNISHER II/FRANK CA
HULK/DR. ROBERT BRUC,SERGEI
HULK/DR. ROBERT BRUC,GUARDIAN/JAMES MACDO
HULK/DR. ROBERT BRUC,JUBILEE/JUBILATION L
HULK/DR. ROBERT BRUC,"JONES, RICHARD MILHO"
HULK/DR. ROBERT BRUC,ANAK
HULK/DR. ROBERT BRUC,CYCLOPS/SCOTT SUMMER
HULK/DR. ROBERT BRUC,DISTORTER
HULK/DR. ROBERT BRUC,IRON FIST/DANIEL RAN
HULK/DR. ROBERT BRUC,CONSTRICTOR/FRANK PA
HULK/DR. ROBERT BRUC,MOLE MAN/HARVEY RUPE
HULK/DR. ROBERT BRUC,"ROSS, GEN. THADDEUS "
HULK/DR. ROBERT BRUC,SANDMAN/WILLIAM BAKE
HULK/DR. ROBERT BRUC,"BANNER, BETTY ROSS T"
HULK/DR. ROBERT BRUC,"ROSS, GEN. THADDEUS "
HULK/DR. ROBERT BRUC,"ROSS, GEN. THADDEUS "
HULK/DR. ROBERT BRUC,NIGHTHAWK II/KYLE RI
HULK/DR. ROBERT BRUC,GALACTUS/GALAN
HULK/DR. ROBERT BRUC,DR. STRANGE/STEPHEN 
HULK/DR. ROBERT BRUC,"NORRISS, SISTER BARB"
HULK/DR. ROBERT BRUC,"CAGE, LUKE/CARL LUCA"
HULK/DR. ROBERT BRUC,CYCLOPS DOPPELGANGER
HULK/DR. ROBERT BRUC,GORGON [INHUMAN]
